;Kc [-];
;Allen et al., 2009;Rallo et al., 2021
14/06/2019;0,55;0,50
15/06/2019;0,55;0,50
16/06/2019;0,55;0,50
17/06/2019;0,55;0,50
18/06/2019;0,55;0,50
19/06/2019;0,55;0,50
20/06/2019;0,55;0,50
21/06/2019;0,55;0,50
22/06/2019;0,55;0,50
23/06/2019;0,55;0,50
24/06/2019;0,55;0,50
25/06/2019;0,55;0,50
26/06/2019;0,55;0,50
27/06/2019;0,55;0,50
28/06/2019;0,55;0,50
29/06/2019;0,55;0,50
30/06/2019;0,55;0,50
01/07/2019;0,55;0,50
02/07/2019;0,55;0,50
03/07/2019;0,55;0,50
04/07/2019;0,55;0,50
05/07/2019;0,55;0,50
06/07/2019;0,55;0,50
07/07/2019;0,55;0,50
08/07/2019;0,55;0,50
09/07/2019;0,55;0,50
10/07/2019;0,55;0,50
11/07/2019;0,55;0,50
12/07/2019;0,55;0,50
13/07/2019;0,55;0,50
14/07/2019;0,55;0,50
15/07/2019;0,55;0,50
16/07/2019;0,55;0,50
17/07/2019;0,55;0,50
18/07/2019;0,55;0,50
19/07/2019;0,55;0,50
20/07/2019;0,55;0,50
21/07/2019;0,55;0,50
22/07/2019;0,55;0,50
23/07/2019;0,55;0,50
24/07/2019;0,55;0,50
25/07/2019;0,55;0,50
26/07/2019;0,55;0,50
27/07/2019;0,55;0,50
28/07/2019;0,55;0,50
29/07/2019;0,55;0,50
30/07/2019;0,55;0,50
31/07/2019;0,55;0,50
01/08/2019;0,55;0,50
02/08/2019;0,55;0,50
03/08/2019;0,55;0,50
04/08/2019;0,55;0,50
05/08/2019;0,55;0,50
06/08/2019;0,55;0,50
07/08/2019;0,55;0,50
08/08/2019;0,55;0,50
09/08/2019;0,55;0,50
10/08/2019;0,55;0,50
11/08/2019;0,55;0,50
12/08/2019;0,55;0,50
13/08/2019;0,55;0,50
14/08/2019;0,55;0,50
15/08/2019;0,55;0,50
16/08/2019;0,55;0,50
17/08/2019;0,55;0,50
18/08/2019;0,55;0,50
19/08/2019;0,55;0,50
20/08/2019;0,55;0,50
21/08/2019;0,55;0,50
22/08/2019;0,55;0,50
23/08/2019;0,55;0,50
24/08/2019;0,55;0,50
25/08/2019;0,55;0,50
26/08/2019;0,55;0,50
27/08/2019;0,55;0,50
28/08/2019;0,55;0,50
29/08/2019;0,55;0,50
30/08/2019;0,55;0,50
31/08/2019;0,55;0,50
01/09/2019;0,556;0,502
02/09/2019;0,561;0,505
03/09/2019;0,567;0,507
04/09/2019;0,573;0,510
05/09/2019;0,578;0,512
06/09/2019;0,584;0,515
07/09/2019;0,590;0,517
08/09/2019;0,595;0,519
09/09/2019;0,601;0,522
10/09/2019;0,606;0,524
11/09/2019;0,612;0,527
12/09/2019;0,618;0,529
13/09/2019;0,623;0,531
14/09/2019;0,629;0,534
15/09/2019;0,635;0,536
16/09/2019;0,640;0,539
17/09/2019;0,646;0,541
18/09/2019;0,652;0,544
19/09/2019;0,657;0,546
20/09/2019;0,663;0,548
21/09/2019;0,669;0,551
22/09/2019;0,674;0,553
23/09/2019;0,680;0,556
24/09/2019;0,685;0,558
25/09/2019;0,691;0,560
26/09/2019;0,697;0,563
27/09/2019;0,702;0,565
28/09/2019;0,708;0,568
29/09/2019;0,714;0,570
30/09/2019;0,719;0,573
01/10/2019;0,725;0,575
02/10/2019;0,731;0,577
03/10/2019;0,736;0,580
04/10/2019;0,742;0,582
05/10/2019;0,748;0,585
06/10/2019;0,753;0,587
07/10/2019;0,759;0,590
08/10/2019;0,765;0,592
09/10/2019;0,770;0,594
10/10/2019;0,776;0,597
11/10/2019;0,781;0,599
12/10/2019;0,787;0,602
13/10/2019;0,793;0,604
14/10/2019;0,798;0,606
15/10/2019;0,804;0,609
16/10/2019;0,810;0,611
17/10/2019;0,815;0,614
18/10/2019;0,821;0,616
19/10/2019;0,827;0,619
20/10/2019;0,832;0,621
21/10/2019;0,838;0,623
22/10/2019;0,844;0,626
23/10/2019;0,849;0,628
24/10/2019;0,855;0,631
25/10/2019;0,860;0,633
26/10/2019;0,866;0,635
27/10/2019;0,872;0,638
28/10/2019;0,877;0,640
29/10/2019;0,883;0,643
30/10/2019;0,889;0,645
31/10/2019;0,894;0,648
01/11/2019;0,90;0,65
02/11/2019;0,90;0,65
03/11/2019;0,90;0,65
04/11/2019;0,90;0,65
05/11/2019;0,90;0,65
06/11/2019;0,90;0,65
07/11/2019;0,90;0,65
08/11/2019;0,90;0,65
09/11/2019;0,90;0,65
10/11/2019;0,90;0,65
11/11/2019;0,90;0,65
12/11/2019;0,90;0,65
13/11/2019;0,90;0,65
14/11/2019;0,90;0,65
15/11/2019;0,90;0,65
16/11/2019;0,90;0,65
17/11/2019;0,90;0,65
18/11/2019;0,90;0,65
19/11/2019;0,90;0,65
20/11/2019;0,90;0,65
21/11/2019;0,90;0,65
